id1,id2,tstart,tend
2,0,1733000,2849000
1,0,3458000,4417000
5,6,0,855000
6,5,2518000,3578000
7,5,4040000,4970000
5,6,6532000,7140000
10,11,4674000,6013000
14,10,6858000,7790000
16,15,0,632000
20,21,5118000,6199000
28,25,0,1131000
26,25,1977000,2806000
25,26,3420000,4119000
33,30,1929000,2829000
36,35,785000,1627000
36,35,1691000,2801000
38,35,2946000,3823000
39,35,4320000,4921000
42,40,2866000,3596000
46,45,0,1123000
47,45,1196000,2117000
46,45,4506000,5661000
52,50,3908000,5554000
51,50,6989000,8338000
58,55,4455000,5055000
62,60,1146000,2344000
63,60,3834000,4772000
63,60,5270000,6309000
61,60,7022000,7913000
70,71,1187000,2141000
74,70,5497000,6863000
79,75,2353000,3801000
79,75,5331000,6321000
83,80,0,1328000
83,80,3553000,4790000
82,80,6849000,7845000
89,85,644000,1725000
93,90,757000,1406000
94,90,1558000,2343000
95,96,1596000,2761000
104,100,6189000,6982000
107,105,1996000,2673000
114,110,0,1693000
112,110,5691000,6413000
111,110,6445000,7105000
117,115,1429000,2280000
119,115,3929000,5628000
124,120,0,795000
124,120,880000,2069000
121,120,2116000,3021000
121,120,3246000,4226000
121,120,5278000,6220000
125,126,3080000,3950000
126,125,6933000,7557000
133,130,0,815000
131,130,3116000,4359000
132,130,5111000,6152000
137,135,983000,2148000
138,135,2304000,3323000
142,140,1841000,2636000
142,140,4812000,5655000
147,145,1000,930000
149,145,2428000,3094000
146,145,5976000,6983000
154,150,2223000,3532000
153,150,4861000,5995000
151,150,6920000,7879000
156,155,2297000,3457000
160,161,4196000,5329000
163,160,6963000,8067000
165,166,4387000,5318000
171,170,1534000,2190000
172,170,4310000,5110000
175,176,5628000,6399000
181,180,4293000,5356000
184,180,6205000,7345000
185,186,1677000,2410000
190,191,4959000,5606000
190,191,5989000,6935000
198,195,677000,1333000
199,195,1377000,2347000
197,195,5829000,7250000
200,201,4364000,5384000
205,206,4616000,5218000
209,205,6873000,7658000
211,210,0,1454000
212,210,2457000,3448000
210,211,6883000,7863000
224,220,0,948000
220,221,4190000,5421000
227,225,6744000,8274000
234,230,5428000,6350000
237,235,6126000,6837000
245,246,0,1099000
248,245,1473000,2211000
249,245,2325000,3488000
245,246,4489000,5475000
252,250,0,1607000
254,250,2806000,3712000
255,256,2643000,3451000
268,265,0,1505000
269,265,3624000,4281000
266,265,4880000,5769000
274,270,5262000,6445000
278,275,4353000,5354000
281,280,799000,1613000
282,280,1990000,2758000
282,280,2807000,3575000
283,280,5629000,6432000
286,285,1050000,1985000
287,285,3338000,4028000
285,286,4186000,5312000
287,285,6036000,7360000
290,291,973000,1626000
290,291,5380000,6511000
296,295,5936000,6889000
304,300,4036000,4687000
309,305,6964000,7765000
313,310,5089000,6089000
