id1,id2,tstart,tend,type
807,805,0,613000,
1234,1230,0,720000,
1555,1556,0,631000,
5,6,0,727000,
1063,1060,0,829000,
374,370,0,706000,
363,360,0,736000,
1433,1430,0,670000,
1655,1656,0,1026000,
962,960,0,892000,
1037,1035,0,618000,
1565,1566,0,698000,
1259,1255,0,763000,
1415,1416,0,873000,
1536,1535,0,820000,
1696,1695,0,674000,
1572,1570,0,683000,
785,786,0,883000,
790,791,0,836000,
83,80,0,964000,
740,741,0,638000,
1341,1340,0,692000,
252,250,0,1103000,
1204,1200,0,858000,
613,610,0,697000,
1515,1516,0,671000,
1640,1641,0,652000,
133,130,0,707000,
566,565,0,734000,
995,996,0,828000,
1377,1375,0,973000,
983,980,0,1112000,
268,265,0,1052000,
1254,1250,0,715000,
1183,1180,0,812000,
46,45,0,861000,
971,970,0,907000,
224,220,0,774000,
929,925,0,669000,
211,210,0,1027000,
16,15,0,616000,
124,120,0,697000,
1612,1610,0,755000,
449,445,0,896000,
1074,1070,0,1099000,
441,440,0,957000,
1412,1410,0,744000,
1011,1010,0,603000,
586,585,0,697000,
1552,1550,0,752000,
245,246,0,849000,
1481,1480,0,895000,
725,726,0,821000,
664,660,0,772000,
467,465,0,685000,
1041,1040,0,672000,
916,915,0,690000,
1293,1290,0,608000,
1607,1605,0,664000,
799,795,0,1084000,
1322,1320,0,669000,
921,920,0,792000,
620,621,0,844000,
745,746,0,610000,
346,345,0,1063000,
802,800,0,783000,
544,540,0,1059000,
670,671,0,745000,
684,680,0,1129000,
644,640,0,721000,
576,575,0,686000,
1564,1560,0,758000,
608,605,0,804000,
1526,1525,0,617000,
433,430,0,844000,
991,990,0,692000,
28,25,0,865000,
775,776,0,1012000,
659,655,0,736000,
114,110,0,1146000,
574,570,1000,778000,
147,145,1000,765000,
675,676,1000,900000,
1298,1295,1000,890000,
1396,1395,1000,619000,
1242,1240,619000,1738000,
1336,1335,620000,1735000,
1158,1155,621000,1250000,
1300,1301,621000,1243000,
489,485,629000,1311000,
89,85,630000,1470000,
1136,1135,630000,1287000,
563,560,634000,1499000,
198,195,645000,1273000,
1046,1045,681000,1814000,
868,865,688000,1335000,
93,90,688000,1312000,
1191,1190,688000,1405000,
1310,1311,689000,1426000,
1433,1430,693000,1385000,
1030,1031,695000,1487000,
1170,1171,695000,1571000,
1025,1026,696000,1319000,
1520,1521,697000,1355000,
36,35,700000,1421000,
883,880,702000,1855000,
1279,1275,705000,1472000,
281,280,709000,1416000,
1001,1000,720000,1793000,
1358,1355,721000,1470000,
333,330,724000,1578000,
1015,1016,725000,1351000,
1641,1640,725000,1367000,
480,481,728000,1546000,
1008,1005,729000,1602000,
1428,1425,737000,1420000,
1124,1120,737000,1748000,
1287,1285,739000,1517000,
846,845,744000,1622000,
124,120,749000,1643000,
456,455,750000,1614000,
1586,1585,760000,1652000,
468,465,771000,1527000,
702,700,773000,1448000,
1442,1440,774000,1405000,
426,425,782000,1628000,
337,335,782000,1801000,
663,660,783000,1414000,
70,71,787000,1650000,
1403,1400,788000,1597000,
272,270,789000,1621000,
773,770,796000,1522000,
853,850,799000,1625000,
505,506,813000,1424000,
391,390,826000,1584000,
988,985,829000,1748000,
1271,1270,835000,1449000,
818,815,848000,1548000,
1050,1051,848000,1673000,
833,830,849000,1916000,
1044,1040,863000,1645000,
1342,1340,868000,1930000,
1624,1620,875000,1717000,
1486,1485,880000,1672000,
1394,1390,881000,1506000,
1367,1365,883000,1701000,
398,395,889000,1765000,
6,5,890000,1536000,
1571,1570,904000,1802000,
1011,1010,906000,1779000,
557,555,908000,1687000,
61,60,924000,2099000,
1578,1575,925000,1533000,
606,605,926000,1685000,
241,240,930000,1621000,
1109,1105,975000,1595000,
1650,1651,976000,1650000,
591,590,990000,1875000,
