id1,id2,tstart,tend
1669,1665,0,700000
1082,1080,0,816000
619,615,0,765000
1212,1210,0,869000
1574,1570,0,821000
76,75,0,726000
760,761,0,926000
804,800,0,696000
1340,1341,0,731000
1296,1295,0,888000
988,985,0,830000
1076,1075,0,869000
216,215,0,795000
468,465,0,778000
471,470,0,607000
1617,1615,0,836000
10,11,0,771000
1252,1250,0,785000
837,835,0,652000
722,720,0,871000
1381,1380,0,801000
291,290,0,1159000
1024,1020,0,760000
1378,1375,0,608000
950,951,0,727000
1144,1140,0,1018000
545,546,0,888000
323,320,0,836000
1545,1546,0,835000
379,375,0,804000
409,405,0,710000
781,780,0,773000
464,460,0,677000
685,686,0,688000
859,855,0,977000
289,285,0,696000
442,440,0,668000
1235,1236,0,952000
1350,1351,0,960000
1697,1695,0,612000
912,910,0,625000
702,700,0,820000
351,350,0,913000
1493,1490,0,818000
535,536,0,646000
999,995,0,677000
1674,1670,0,873000
125,126,0,810000
621,620,0,753000
1190,1191,0,854000
1174,1170,0,993000
811,810,0,1191000
979,975,0,1102000
797,795,0,853000
250,251,0,778000
222,220,0,776000
1635,1636,0,699000
1321,1320,0,790000
719,715,0,1049000
1563,1560,0,646000
336,335,0,779000
869,865,0,786000
1502,1500,0,641000
873,870,0,658000
1441,1440,0,790000
909,905,0,716000
1554,1550,0,753000
595,596,0,625000
928,925,0,633000
424,420,0,617000
662,660,0,1038000
1510,1511,0,1172000
957,955,0,872000
745,746,0,840000
1249,1245,0,893000
60,61,0,744000
1436,1435,0,620000
808,805,0,860000
1462,1460,0,850000
361,360,0,608000
567,565,0,1178000
1241,1240,0,874000
510,511,0,1074000
32,30,0,828000
1517,1515,0,615000
1336,1335,612000,1407000
542,540,623000,1473000
1359,1355,623000,1233000
1074,1070,627000,1450000
1294,1290,631000,1324000
1519,1515,632000,1516000
966,965,634000,1310000
417,415,646000,1267000
1281,1280,646000,1438000
524,520,654000,1554000
846,845,654000,1762000
132,130,659000,1456000
297,295,666000,1311000
1287,1285,668000,1821000
555,556,675000,1315000
774,770,687000,1333000
1520,1521,698000,1356000
36,35,701000,1422000
883,880,706000,1859000
1279,1275,713000,1480000
281,280,719000,1426000
1001,1000,720000,1793000
525,526,720000,1618000
333,330,721000,1575000
1015,1016,721000,1347000
1641,1640,730000,1372000
1137,1135,735000,1402000
1364,1360,750000,1805000
800,801,752000,1816000
1409,1405,780000,1574000
870,871,784000,1740000
356,355,786000,1943000
124,120,787000,1681000
456,455,788000,1652000
1586,1585,794000,1686000
468,465,794000,1550000
1558,1555,796000,1546000
74,70,797000,1590000
953,950,805000,1497000
587,585,806000,1748000
1647,1645,806000,1450000
227,225,807000,1812000
943,940,810000,1677000
1157,1155,810000,1476000
1633,1630,815000,1466000
1081,1080,824000,1697000
916,915,825000,1484000
1432,1430,825000,1453000
1305,1306,835000,1611000
1698,1695,844000,1725000
230,231,847000,1511000
1329,1325,848000,1927000
46,45,855000,1678000
289,285,858000,1735000
253,250,858000,1667000
728,725,863000,1751000
1562,1560,863000,1911000
553,550,864000,1602000
1367,1365,866000,1684000
398,395,872000,1748000
6,5,874000,1520000
1571,1570,879000,1777000
1011,1010,884000,1757000
1310,1311,885000,1934000
1665,1666,889000,1535000
